Age Group,Gender,Location (Home City),Favorite IPL Team:,Which IPL team do you dislike the most?,How long have you supported this team?,"How emotionally invested are you in IPL? (Scale: 1 - Not at all, 5 - Very emotionally invested)",Who is your favorite player in IPL?,Who do you think is the most overrated player?,Which player’s performance affects your mood the most?,Would you continue supporting your team if your favorite player left?,How do you react when your team wins?,How do you react when your team loses?,Do you think umpires are biased against certain teams?,How often do you engage in social media discussions after matches?,Have you ever argued with someone online about IPL?,How do you usually watch IPL?,Have you ever attended an IPL match in a stadium?,Which team do you think will win IPL this year?,Which player do you think will win the Orange Cap (Most Runs)?,Which player do you think will win the Purple Cap (Most Wickets)?,How do you react when your team wins? [Score],How do you react when your team wins? [Sentiment],How do you react when your team loses? [Score],How do you react when your team loses? [Sentiment]
26-35,Female,Nagpur,Chennai Super Kings,Kolkata Knight Riders,<1 Year,1,MS Dhoni,Abhishek Sharma,Jasprit Bumrah,No, Doesn’t matter, Doesn’t matter,Maybe,Never,No, Don’t watch regularly,No,Chennai Super Kings,Virat Kholi,Jasprit Bumrah,0.0258,Neutral,0.0258,Neutral
19-25,Male,Nagpur,Mumbai Indians,Royal Challengers Bengaluru,Since the beginning of IPL,5,Rohit Sharma,Mitchell Starc,Rohit Sharma,Yes, Happy, Sad,No,Sometimes,Yes, Stadium,Yes,Mumbai Indians,Rohit Sharma,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
19-25,Male,Kanpur,Mumbai Indians,Chennai Super Kings,3-5 Years,3,Rohit Sharma,Ruturaj Gaikwad,Rohit Sharma,Yes, Happy, Angry,No,Sometimes,Yes, Streaming Apps,No,Mumbai Indians,Abhishek Sharma,Jasprit Bumrah,0.5719,Positive,-0.5106,Negative
19-25,Male,Gwalior,Chennai Super Kings,Mumbai Indians,3-5 Years,5,MS Dhoni,Ruturaj Gaikwad,MS Dhoni,Maybe, Happy, Sad,Maybe,Sometimes,No, Don’t watch regularly,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
19-25,Male,Unknown,Rajasthan Royals,Mumbai Indians,Since the beginning of IPL,3,Shubhman Gill,Shreyas Iyer,Rohit Sharma,Yes, Happy, Sad,No,Often,Yes,,No,Kolkata Knight Riders,Abhishek Sharma,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Pune,Rajasthan Royals,Mumbai Indians,Since the beginning of IPL,3,Shubhman Gill,Shreyas Iyer,Rohit Sharma,Yes, Happy, Sad,No,Often,Yes,,No,Kolkata Knight Riders,Abhishek Sharma,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Ghaziabad,Chennai Super Kings,Mumbai Indians,3-5 Years,5,MS Dhoni,Ruturaj Gaikwad,MS Dhoni,Maybe, Happy, Sad,Maybe,Sometimes,No, Don’t watch regularly,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
19-25,Male,Ghaziabad,Mumbai Indians,Punjab Kings,1-3 Years,5,Rohit Sharma,Rishabh Pant,Virat Kohli,No, Excited, Angry,Maybe,Never,No, TV,No,Rajasthan Royals,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.5106,Negative
19-25,Male,Howrah,Mumbai Indians,Kolkata Knight Riders,3-5 Years,4,Andre Russel,Mitchell Starc,Virat Kohli,Maybe, Happy, Neutral,Yes,Sometimes,Yes, Streaming Apps,No,Mumbai Indians,Rohit Sharma,Rashid Khan,0.5719,Positive,0.0,Neutral
19-25,Male,Patna,Mumbai Indians,Kolkata Knight Riders,3-5 Years,4,Andre Russel,Mitchell Starc,Virat Kohli,Maybe, Happy, Neutral,Yes,Sometimes,Yes, Streaming Apps,No,Mumbai Indians,Rohit Sharma,Rashid Khan,0.5719,Positive,0.0,Neutral
19-25,Female,Ranchi,Royal Challengers Bengaluru,Mumbai Indians,3-5 Years,5,Virat Kohli,Shreyas Iyer,Virat Kohli,Yes, Happy, Sad,Maybe,Always,Yes, Streaming Apps,No,Royal Challengers Bengaluru,Abhishek Sharma,Bhuvneshwar Kumar,0.5719,Positive,-0.4767,Negative
19-25,Male,Howrah,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Male,Unknown,Mumbai Indians,Chennai Super Kings,Since the beginning of IPL,3,Rohit Sharma,Mitchell Starc,Travis Head,Yes, Happy, Sad,Yes,Often,No, Streaming Apps,Yes,Chennai Super Kings,Shubhman Gill,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Female,Jabalpur,Royal Challengers Bengaluru,Mumbai Indians,3-5 Years,5,Virat Kohli,Shreyas Iyer,Virat Kohli,Yes, Happy, Sad,Maybe,Always,Yes, Streaming Apps,No,Royal Challengers Bengaluru,Abhishek Sharma,Bhuvneshwar Kumar,0.5719,Positive,-0.4767,Negative
10-18,Female,Patna,Rajasthan Royals,Punjab Kings,Since the beginning of IPL,3,MS Dhoni,Surya Kumar Yadav,MS Dhoni,Yes, Excited, Neutral,No,Sometimes,Yes, Streaming Apps,No,Rajasthan Royals,Sanju Samson,Mohammad Shami,0.34,Positive,0.0,Neutral
19-25,Male,Agra,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,5,MS Dhoni,Surya Kumar Yadav,MS Dhoni,Yes, Excited, Sad,Yes,Often,Yes, Streaming Apps,Yes,Chennai Super Kings,Ruturaj Gaikwad,Arshdeep Singh,0.34,Positive,-0.4767,Negative
19-25,Male,Nagpur,Mumbai Indians,Punjab Kings,Since the beginning of IPL,5,Rohit Sharma,,Jasprit Bumrah,Yes, Happy, Neutral,No,Often,Yes, Streaming Apps,No,Mumbai Indians,Abhishek Sharma,Trent Bolt,0.5719,Positive,0.0,Neutral
19-25,Male,Chennai,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,1,MS Dhoni,Surya Kumar Yadav,MS Dhoni,Yes, Doesn’t matter, Doesn’t matter,Yes,Never,No, TV,No,Royal Challengers Bengaluru,Shubhman Gill,Bhuvneshwar Kumar,0.0258,Neutral,0.0258,Neutral
19-25,Male,Nashik,Chennai Super Kings,Mumbai Indians,1-3 Years,2,MS Dhoni,Mitchell Starc,MS Dhoni,Maybe, Excited, Neutral,Yes,Sometimes,No, TV,No,Chennai Super Kings,Kl Rahul,Jasprit Bumrah,0.34,Positive,0.0,Neutral
19-25,Male,Bhopal,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,1,MS Dhoni,Rishabh Pant,MS Dhoni,Maybe, Doesn’t matter, Neutral,Maybe,Never,No, Don’t watch regularly,No,Chennai Super Kings,Ruturaj Gaikwad,Bhuvneshwar Kumar,0.0258,Neutral,0.0,Neutral
